"Time","Source","Destination","Protocol","Length","Type","Source_Port","Desc_Port","Time_shift","Stream_index","InterfaceId","Time_from_previous","Flags","FlagsTCP","Attack"
"21.216253","10.1.1.13","35.165.148.158","TCP","60","IPv4","34188","443","0.000000000","11x0","0","0.323776000","0x4000","0x010","0"
"21.216375","10.1.1.13","35.165.148.158","TCP","60","IPv4","34192","443","0.000000000","11x0","0","0.000122000","0x4000","0x010","0"
"22.119695","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","4","0","0.903320000","0x4000","11x0","0"
"22.119935","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","5","0","0.000240000","0x4000","11x0","0"
"22.120151","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","6","0","0.000216000","0x4000","11x0","0"
"22.869385","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","7","0","0.749234000","0x4000","11x0","0"
"23.636896","10.1.1.13","172.217.18.99","TLSv1.2","93","IPv4","56096","443","0.000000000","11x0","0","0.767511000","0x4000","0x018","0"
"25.118969","10.1.1.13","8.8.8.8","DNS","99","IPv4","11x0","11x0","0.000000000","8","0","1.482073000","0x4000","11x0","0"
"25.313083","10.1.1.13","35.165.148.158","TCP","60","IPv4","34194","443","0.000000000","11x0","0","0.194114000","0x4000","0x010","0"
"25.640435","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","2","0","0.327352000","0x4000","11x0","0"
"25.641562","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","3","0","0.001127000","0x4000","11x0","0"
"25.896250","10.1.1.13","8.8.8.8","DNS","85","IPv4","11x0","11x0","0.000000000","9","0","0.254688000","0x4000","11x0","0"
"26.335928","10.1.1.13","13.32.158.39","TCP","60","IPv4","37576","443","0.000000000","11x0","0","0.439678000","0x4000","0x010","0"
"26.639211","10.1.1.13","172.217.16.174","TLSv1.2","93","IPv4","43660","443","0.000000000","11x0","0","0.303283000","0x4000","0x018","0"
"27.369358","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","4","0","0.730147000","0x4000","11x0","0"
"27.369546","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","6","0","0.000188000","0x4000","11x0","0"
"27.369682","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","5","0","0.000136000","0x4000","11x0","0"
"28.119070","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","7","0","0.749388000","0x4000","11x0","0"
"28.384053","10.1.1.13","172.217.21.196","TCP","1117","IPv4","50016","443","0.000000000","11x0","0","0.264983000","0x4000","0x018","0"
"29.151954","10.1.1.13","172.217.22.78","TCP","156","IPv4","49160","443","0.000000000","11x0","0","0.767901000","0x4000","0x019","0"
"29.408126","10.1.1.13","172.217.18.99","TCP","93","IPv4","56096","443","0.000000000","11x0","0","0.256172000","0x4000","0x018","0"
"30.176017","10.1.1.13","172.217.22.3","TCP","156","IPv4","39300","443","0.000000000","11x0","0","0.767891000","0x4000","0x019","0"
"30.369330","10.1.1.13","8.8.8.8","DNS","99","IPv4","11x0","11x0","0.000000000","8","0","0.193313000","0x4000","11x0","0"
"30.644494","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","3","0","0.275164000","0x4000","11x0","0"
"30.644657","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","2","0","0.000163000","0x4000","11x0","0"
"30.900373","10.1.1.13","8.8.8.8","DNS","85","IPv4","11x0","11x0","0.000000000","9","0","0.255716000","0x4000","11x0","0"
"31.642332","10.1.1.13","172.217.18.99","TLSv1.2","117","IPv4","56096","443","0.000000000","11x0","0","0.741959000","0x4000","0x019","0"
"32.479789","10.1.1.13","35.165.148.158","TCP","60","IPv4","34198","443","0.000000000","11x0","0","0.837457000","0x4000","0x010","0"
"32.618783","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","4","0","0.138994000","0x4000","11x0","0"
"32.619042","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","5","0","0.000259000","0x4000","11x0","0"
"32.619195","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","6","0","0.000153000","0x4000","11x0","0"
"32.735902","10.1.1.13","172.217.16.174","TCP","93","IPv4","43660","443","0.000000000","11x0","0","0.116707000","0x4000","0x018","0"
"32.736075","10.1.1.13","35.165.148.158","TCP","60","IPv4","34196","443","0.000000000","11x0","0","0.000173000","0x4000","0x010","0"
"33.369014","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","7","0","0.632939000","0x4000","11x0","0"
"34.644672","10.1.1.13","172.217.16.174","TLSv1.2","117","IPv4","43660","443","0.000000000","11x0","0","1.275658000","0x4000","0x019","0"
"35.492145","10.1.1.13","8.8.8.8","DNS","101","IPv4","11x0","11x0","0.000000000","10","0","0.847473000","0x4000","11x0","0"
"35.492390","10.1.1.13","8.8.8.8","DNS","99","IPv4","11x0","11x0","0.000000000","8","0","0.000245000","0x4000","11x0","0"
"35.496956","10.1.1.13","8.8.8.8","DNS","101","IPv4","11x0","11x0","0.000000000","11","0","0.004566000","0x4000","11x0","0"
"35.919483","10.1.1.13","35.165.148.158","TCP","1514","IPv4","34190","443","0.000000000","11x0","0","0.422527000","0x4000","0x010","0"
"35.919790","10.1.1.13","35.165.148.158","TCP","1514","IPv4","34190","443","0.000000000","11x0","0","0.000307000","0x4000","0x010","0"
"35.920517","10.1.1.13","172.217.16.202","TCP","89","IPv4","40378","443","0.000000000","11x0","0","0.000727000","0x4000","0x018","0"
"35.920882","10.1.1.13","35.165.148.158","TCP","1514","IPv4","34190","443","0.000000000","11x0","0","0.000365000","0x4000","0x010","0"
"35.921176","10.1.1.13","35.165.148.158","TCP","1514","IPv4","34190","443","0.000000000","11x0","0","0.000294000","0x4000","0x010","0"
"35.921439","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","3","0","0.000263000","0x4000","11x0","0"
"35.921903","10.1.1.13","8.8.8.8","DNS","85","IPv4","11x0","11x0","0.000000000","9","0","0.000464000","0x4000","11x0","0"
"35.922277","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","2","0","0.000374000","0x4000","11x0","0"
"36.600756","10.1.1.13","172.217.21.196","TLSv1.2","93","IPv4","49970","443","0.000000000","11x0","0","0.678479000","0x4000","0x018","0"
"37.600377","10.1.1.13","216.58.207.67","TCP","156","IPv4","52976","443","0.000000000","11x0","0","0.999621000","0x4000","0x019","0"
"37.869789","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","4","0","0.269412000","0x4000","11x0","0"
"37.870913","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","6","0","0.001124000","0x4000","11x0","0"
"37.871708","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","5","0","0.000795000","0x4000","11x0","0"
